scope,metric,n,pearson,spearman,kendall,mae
response,reference-aware:gemini_2_5_pro,688,0.8398481838505821,0.7558269249693378,0.6517841500963808,17.248062015503876
response,reference-aware:gpt4o,688,0.8673376800109465,0.8953276772037608,0.7939516128102654,13.977713178294573
response,reference-aware:primary-mean,688,0.9961308201263935,0.9942252245079714,0.9800149733976654,0.8236434108527132
response,reference-aware:qwen3_omni,688,0.9045378743492718,0.8980214829640344,0.8002333868251312,11.337209302325581
model-rank,reference-aware:gemini_2_5_pro,11,0.8363636363636361,0.8363636363636365,0.7454545454545454,1.0909090909090908
model-rank,reference-aware:gpt4o,11,0.9727272727272723,0.9727272727272729,0.8909090909090909,0.5454545454545454
model-rank,reference-aware:primary-mean,11,0.9999999999999997,1.0,1.0,0.0
model-rank,reference-aware:qwen3_omni,11,0.9818181818181814,0.9818181818181818,0.9272727272727274,0.36363636363636365
